ALIAS	FEATURE_COUNT	TOTAL_ACRES	TOTAL_LENGTH_FT	ACRES_SUM_FIELDS	LENGTH_FT_SUM_FIELDS	VALUE_SUM_FIELDS	ATTR_COUNT_FIELDS	NEAREST_FEATS_FIELDS
mgmt_opt				('FireManagementOption',)				
jurisd				('LandownerCategory','JurisdictionalUnitName')				
spec_mgmt	('true',)						('ManagementConsiderations',)	('ManagementConsiderations',)
parcel	('true',)	('true',)		('property_type','property_use')		('land_value','building_value','total_value')		('property_type','property_use','total_value')
allot	('true',)	('true',)		('ALLOT_STATUS',)				('ALLOT_STATUS','ALLOT_ID')
silvic	('true',)	('true',)		('STATUS',)		('TOTAL_VALUE',)		('STATUS','TOTAL_VALUE','SALE_NAME')
usa_struct	('true',)						('OCC_CLS','PRIM_OCC','SEC_OCC')	('OCC_CLS','PRIM_OCC')
aksd	('true',)					('MainStructs','OthrStructs')	('SiteCat','Protection')	('SiteCat','Protection','MainStructs','OthrStructs')
nps_struct	('true')						('FacilityUse','Rating','ProtectionLevel')	('FacilityUse','Rating','ProtectionLevel')
ak_runway	('true',)						('ownership','loc_id')	('runway_id','length','surface','loc_id')
comm_twr	('true',)						('Type',)	('Type','url')
wind_turb	('true',)						('p_name',)	('p_name',)
ak_weather	('true',)						('MNET_SHORTNAME',)	('NAME','CODE','MESOWESTWEBURL')
pwrplnt	('true',)						('Utility_Name','sector_name','PrimSource')	('Utility_Name','Street_Address','sector_name','PrimSource','tech_desc')
petrl_term	('true',)						('Company',)	('Company','Site','City')
ak_mine	('true',)						('APMA_TYPE','ACTIVE','NOTE',)	('ACTIVE','APMA_TYPE','NOTE','Explosives','START_YEAR','EXPIRATION_YEAR')
community	('true',)						('CommunityName',)	('CommunityName',)
usa_rail			('true',)		('NET_DESC',)			('NET_DESC',)
pipeline			('true',)		('NAME',)			('NAME',)
ak_pwrline			('true',)		('VOLTAGE','COND_TYPE')			('VOLTAGE','COND_TYPE')