PROCESSING_NAME	FIELD_NAME	ESRI_FIELD_TYPE	USED_IN_WHICH_SERVICE
AkFireRegion	AkFireRegion	esriFieldTypeString	(0,1,3,5)
AkFireNumber	AkFireNumber	esriFieldTypeSmallInteger	(0,1,3,5)
IncidentName	wfigs_IncidentName	esriFieldTypeString	(0,1,3,5)
FireActivityStatus	FireActivityStatus	esriFieldTypeString	(0,1,3,5)
GISAcres	wfigs_GISAcres	esriFieldTypeDouble	(0,1,3,5)
MapMethod	wfigs_MapMethod	esriFieldTypeString	(0,1,3,5)
PolygonDateTime	wfigs_PolygonDateTime	esriFieldTypeDate	(0,1,3,5)
ModifiedOnDateTime_dt	wfigs_ModifiedOnDateTime_dt	esriFieldTypeDate	(0,1,3,5)
IrwinID	wfigs_IrwinID	esriFieldTypeString	(0,1,3,5)
ReportedAcres	ReportedAcres	esriFieldTypeDouble	(0,1,3,5)
ReportedAcOverPerimAc	ReportedAcOverPerimAc	esriFieldTypeSmallInteger	(0,1,3,5)
HasError	HasError	esriFieldTypeSmallInteger	(0,1,3,5)
DefaultLabel	DefaultLabel	esriFieldTypeString	(0,1,3,5)
buf_dist	AnalysisBufferMiles	esriFieldTypeSmallInteger	(0,1,3,5)
ak_mine_ACTIVE_attr_count	AkMine_Active_AttrCount	esriFieldTypeString	(0,1,3,5)
ak_mine_APMA_TYPE_attr_count	AkMine_Type_AttrCount	esriFieldTypeString	(0,1,3,5)
ak_mine_NOTE_attr_count	AkMine_Note_AttrCount	esriFieldTypeString	(0,1,3,5)
ak_mine_feat_count	AkMine_FeatureCount	esriFieldTypeSmallInteger	(0,1,3,5)
ak_mine_nearest_feats	AkMine_Nearest	esriFieldTypeString	(0,)
ak_mine_interior_feats	AkMine_Interior	esriFieldTypeString	(0,)
ak_pwrline_COND_TYPE_feet_sum	AkPowerLine_CondType_FeetSum	esriFieldTypeString	(0,1,3,5)
ak_pwrline_VOLTAGE_feet_sum	AkPowerLine_Voltage_FeetSum	esriFieldTypeString	(0,1,3,5)
ak_pwrline_nearest_feats	AkPowerLine_Nearest	esriFieldTypeString	(0,)
ak_pwrline_interior_feats	AkPowerLine_Interior	esriFieldTypeString	(0,)
ak_pwrline_total_feet	AkPowerLine_TotalFeet	esriFieldTypeDouble	(0,1,3,5)
ak_runway_feat_count	Runway_FeatureCount	esriFieldTypeSmallInteger	(0,1,3,5)
ak_runway_nearest_feats	Runway_Nearest	esriFieldTypeString	(0,)
ak_runway_interior_feats	Runway_Interior	esriFieldTypeString	(0,)
ak_runway_ownership_attr_count	Runway_Ownership_AttrCount	esriFieldTypeString	(0,1,3,5)
ak_runway_loc_id_attr_count	Runway_LocID_AttrCount	esriFieldTypeString	(0,1,3,5)
ak_weather_MNET_SHORTNAME_attr_count	WeatherStation_Name_AttrCount	esriFieldTypeString	(0,1,3,5)
ak_weather_feat_count	WeatherStation_FeatureCount	esriFieldTypeSmallInteger	(0,1,3,5)
ak_weather_nearest_feats	WeatherStation_Nearest	esriFieldTypeString	(0,)
ak_weather_interior_feats	WeatherStation_Interior	esriFieldTypeString	(0,)
aksd_MainStructs_value_sum	Aksd_MainStruct_AttrSum	esriFieldTypeInteger	(0,1,3,5)
aksd_OthrStructs_value_sum	Aksd_OtherStruct_AttrSum	esriFieldTypeInteger	(0,1,3,5)
aksd_Protection_attr_count	Aksd_Protection_AttrCount	esriFieldTypeString	(0,1,3,5)
aksd_SiteCat_attr_count	Aksd_SiteCat_AttrCount	esriFieldTypeString	(0,1,3,5)
aksd_feat_count	Aksd_FeatureCount	esriFieldTypeInteger	(0,1,3,5)
aksd_nearest_feats	Aksd_Nearest	esriFieldTypeString	(0,)
aksd_interior_feats	Aksd_Interior	esriFieldTypeString	(0,)
allot_ALLOT_STATUS_acres_sum	NtvAllot_Status_AcreSum	esriFieldTypeString	(0,1,3,5)
allot_feat_count	NtvAllot_FeatureCount	esriFieldTypeInteger	(0,1,3,5)
allot_nearest_feats	NtvAllot_Nearest	esriFieldTypeString	(0,)
allot_interior_feats	NtvAllot_Interior	esriFieldTypeString	(0,)
allot_total_acres	NtvAllot_TotalAcres	esriFieldTypeDouble	(0,1,3,5)
comm_twr_Type_attr_count	ComsTwr_Type_AttrCount	esriFieldTypeString	(0,1,3,5)
comm_twr_feat_count	ComsTwr_FeatureCount	esriFieldTypeInteger	(0,1,3,5)
comm_twr_nearest_feats	ComsTwr_Nearest	esriFieldTypeString	(0,)
comm_twr_interior_feats	ComsTwr_Interior	esriFieldTypeString	(0,)
community_feat_count	Community_FeatureCount	esriFieldTypeInteger	(0,1,3,5)
community_CommunityName_attr_count	Community_Name_AttrCount	esriFieldTypeString	(0,1,3,5)
community_nearest_feats	Community_Nearest	esriFieldTypeString	(0,)
community_interior_feats	Community_Interior	esriFieldTypeString	(0,)
jurisd_JurisdictionalUnitName_acres_sum	Jurisd_Unit_AcreSum	esriFieldTypeString	(0,1,3,5)
jurisd_LandownerCategory_acres_sum	Jurisd_Owner_AcreSum	esriFieldTypeString	(0,1,3,5)
mgmt_opt_FireManagementOption_acres_sum	MgmtOption_AcreSum	esriFieldTypeString	(0,1,3,5)
nps_struct_FacilityUse_attr_count	NpsStruct_Use_AttrCount	esriFieldTypeString	(0,1,3,5)
nps_struct_ProtectionLevel_attr_count	NpsStruct_Protection_AttrCount	esriFieldTypeString	(0,1,3,5)
nps_struct_Rating_attr_count	NpsStruct_Rating_AttrCount	esriFieldTypeString	(0,1,3,5)
nps_struct_feat_count	NpsStruct_FeatureCount	esriFieldTypeInteger	(0,1,3,5)
nps_struct_nearest_feats	NpsStruct_Nearest	esriFieldTypeString	(0,)
nps_struct_interior_feats	NpsStruct_Interior	esriFieldTypeString	(0,)
parcel_building_value_value_sum	Parcel_BuildingValue_AttrSum	esriFieldTypeDouble	(0,1,3,5)
parcel_feat_count	Parcel_FeatureCount	esriFieldTypeInteger	(0,1,3,5)
parcel_land_value_value_sum	Parcel_LandValue_AttrSum	esriFieldTypeDouble	(0,1,3,5)
parcel_nearest_feats	Parcel_Nearest	esriFieldTypeString	(0,)
parcel_interior_feats	Parcel_Interior	esriFieldTypeString	(0,)
parcel_property_type_acres_sum	Parcel_PropType_AcreSum	esriFieldTypeString	(0,1,3,5)
parcel_property_use_acres_sum	Parcel_PropUse_AcreSum	esriFieldTypeString	(0,1,3,5)
parcel_total_acres	Parcel_TotalAcres	esriFieldTypeDouble	(0,1,3,5)
parcel_total_value_value_sum	Parcel_TotalValue_AttrSum	esriFieldTypeDouble	(0,1,3,5)
petrl_term_Company_attr_count	PetrolTerm_Company_AttrCount	esriFieldTypeString	(0,1,3,5)
petrl_term_feat_count	PetrolTerm_FeatureCount	esriFieldTypeSmallInteger	(0,1,3,5)
petrl_term_nearest_feats	PetrolTerm_Nearest	esriFieldTypeString	(0,)
petrl_term_interior_feats	PetrolTerm_Interior	esriFieldTypeString	(0,)
pipeline_NAME_feet_sum	PipeLine_Name_FeetSum	esriFieldTypeString	(0,1,3,5)
pipeline_nearest_feats	PipeLine_Nearest	esriFieldTypeString	(0,)
pipeline_interior_feats	PipeLine_Interior	esriFieldTypeString	(0,)
pipeline_total_feet	PipeLine_TotalFeet	esriFieldTypeDouble	(0,1,3,5)
pwrplnt_PrimSource_attr_count	PowerPlant_PrimSource_AttrCount	esriFieldTypeString	(0,1,3,5)
pwrplnt_Utility_Name_attr_count	PowerPlant_UtilName_AttrCount	esriFieldTypeString	(0,1,3,5)
pwrplnt_feat_count	PowerPlant_FeatureCount	esriFieldTypeSmallInteger	(0,1,3,5)
pwrplnt_nearest_feats	PowerPlant_Nearest	esriFieldTypeString	(0,)
pwrplnt_interior_feats	PowerPlant_Interior	esriFieldTypeString	(0,)
pwrplnt_sector_name_attr_count	PowerPlant_SectorName_AttrCount	esriFieldTypeString	(0,1,3,5)
silvic_STATUS_acres_sum	Silviculture_Status_AcreSum	esriFieldTypeString	(0,1,3,5)
silvic_TOTAL_VALUE_value_sum	Silviculture_TotalValue_AttrSum	esriFieldTypeDouble	(0,1,3,5)
silvic_feat_count	Silviculture_FeatureCount	esriFieldTypeSmallInteger	(0,1,3,5)
silvic_nearest_feats	Silviculture_Nearest	esriFieldTypeString	(0,)
silvic_interior_feats	Silviculture_Interior	esriFieldTypeString	(0,)
silvic_total_acres	Silviculture_TotalAcres	esriFieldTypeDouble	(0,1,3,5)
spec_mgmt_ManagementConsiderations_attr_count	SpecMgmt_Consid_AttrCount	esriFieldTypeString	(0,1,3,5)
spec_mgmt_feat_count	SpecMgmt_FeatureCount	esriFieldTypeInteger	(0,1,3,5)
spec_mgmt_nearest_feats	SpecMgmt_Nearest	esriFieldTypeString	(0,)
spec_mgmt_interior_feats	SpecMgmt_Interior	esriFieldTypeString	(0,)
usa_rail_NET_DESC_feet_sum	Railroad_NetDesc_FeetSum	esriFieldTypeString	(0,1,3,5)
usa_rail_nearest_feats	Railroad_Nearest	esriFieldTypeString	(0,)
usa_rail_interior_feats	Railroad_Interior	esriFieldTypeString	(0,)
usa_rail_total_feet	Railroad_TotalFeet	esriFieldTypeDouble	(0,1,3,5)
usa_struct_OCC_CLS_attr_count	UsaStruct_OccCls_AttrCount	esriFieldTypeString	(0,1,3,5)
usa_struct_PRIM_OCC_attr_count	UsaStruct_PrimOcc_AttrCount	esriFieldTypeString	(0,1,3,5)
usa_struct_SEC_OCC_attr_count	UsaStruct_SecOcc_AttrCount	esriFieldTypeString	(0,1,3,5)
usa_struct_feat_count	UsaStruct_FeatureCount	esriFieldTypeInteger	(0,1,3,5)
usa_struct_nearest_feats	UsaStruct_Nearest	esriFieldTypeString	(0,)
usa_struct_interior_feats	UsaStruct_Interior	esriFieldTypeString	(0,)
wind_turb_feat_count	WindTurb_FeatureCount	esriFieldTypeSmallInteger	(0,1,3,5)
wind_turb_nearest_feats	WindTurb_Nearest	esriFieldTypeString	(0,)
wind_turb_interior_feats	WindTurb_Interior	esriFieldTypeString	(0,)
wind_turb_p_name_attr_count	WindTurb_ProjName_AttrCount	esriFieldTypeString	(0,1,3,5)